epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.96724,1.12955,3.80647,0.97886,0,0,0,0,0.68336,3.85581,0.79672,0.099001,1e-06,1e-06
2,12.5898,1.02205,3.36352,0.90643,0,0,0,0,0.67855,3.67118,0.75844,0.097003,2.9703e-06,2.9703e-06
3,17.5278,1.01389,3.09095,0.9078,0,0,0,0,0.70671,3.64354,0.76173,0.0950049,4.901e-06,4.901e-06
4,22.6659,0.90043,2.61762,0.88676,0,0,0,0,0.69643,3.65675,0.75544,0.0930068,6.7921e-06,6.7921e-06
5,27.6233,0.96649,2.55294,0.88357,0,0,0,0,0.68062,3.79194,0.76028,0.0910086,8.6436e-06,8.6436e-06
6,32.6984,0.89043,2.3381,0.89146,0,0,0,0,0.94806,4.02989,0.82873,0.0890105,1.04555e-05,1.04555e-05
7,37.8221,1.05887,2.39779,0.93869,0,0,0,0,1.13,4.06447,0.87705,0.0870122,1.22278e-05,1.22278e-05
8,42.8932,0.99057,2.05133,0.90571,0,0,0,0,1.00192,3.94971,0.81748,0.085014,1.39605e-05,1.39605e-05
9,47.8734,0.97756,1.98226,0.90144,0,0,0,0,0.93414,3.85426,0.79187,0.0830157,1.56536e-05,1.56536e-05
10,52.6918,0.93017,1.88027,0.90511,0,0,0,0,0.8289,3.70103,0.76745,0.0810173,1.73071e-05,1.73071e-05
11,57.6075,0.9617,1.90386,0.88602,0,0,0,0,0.80053,3.57575,0.75681,0.0790189,1.8921e-05,1.8921e-05
12,62.4335,0.90966,1.81885,0.90678,0,0,0,0,0.7689,3.49989,0.74561,0.0770205,2.04953e-05,2.04953e-05
13,67.3459,0.94114,1.68463,0.88366,0,0,0,0,0.77756,3.43074,0.74181,0.075022,2.203e-05,2.203e-05
14,72.235,0.9837,1.82679,0.90593,0,0,0,0,0.72561,3.40183,0.73055,0.0730235,2.35251e-05,2.35251e-05
15,77.4361,0.97048,1.68745,0.89888,1,0.6,0.8,0.70667,0.68742,3.38269,0.7247,0.071025,2.49806e-05,2.49806e-05
16,82.2532,0.89077,1.55429,0.88342,1,0.8,0.9,0.79662,0.64845,3.37457,0.72021,0.0690264,2.63965e-05,2.63965e-05
17,86.9335,0.95647,1.66771,0.91054,1,1,0.995,0.896,0.60764,3.37014,0.71386,0.0670278,2.77728e-05,2.77728e-05
18,91.7493,0.88394,1.59183,0.88286,1,1,0.995,0.9235,0.57032,3.35819,0.70967,0.0650291,2.91095e-05,2.91095e-05
19,96.5822,0.99126,1.61283,0.90025,1,1,0.995,0.9435,0.5514,3.33675,0.70809,0.0630304,3.04066e-05,3.04066e-05
20,101.3,0.87972,1.5577,0.89133,1,1,0.995,0.9235,0.55944,3.31579,0.70699,0.0610317,3.16641e-05,3.16641e-05
21,105.889,0.90717,1.5643,0.89101,1,1,0.995,0.90847,0.58073,3.30473,0.70671,0.0590329,3.2882e-05,3.2882e-05
22,110.626,0.9226,1.49854,0.90136,0.83333,1,0.995,0.90615,0.60541,3.29675,0.70739,0.0570341,3.40603e-05,3.40603e-05
23,115.388,0.90755,1.43121,0.89858,0.71429,1,0.995,0.90519,0.62399,3.2841,0.70954,0.0550352,3.5199e-05,3.5199e-05
24,120.028,0.89335,1.32095,0.88045,0.625,1,0.995,0.8955,0.64448,3.27412,0.71111,0.0530363,3.62981e-05,3.62981e-05
25,124.664,0.92558,1.42049,0.91176,0.625,1,0.995,0.91031,0.62641,3.26779,0.70844,0.0510374,3.73576e-05,3.73576e-05
26,129.369,0.90758,1.46688,0.88817,0.55556,1,0.995,0.8955,0.61023,3.25215,0.70803,0.0490384,3.83775e-05,3.83775e-05
27,133.949,0.89755,1.29265,0.89908,0.5,1,0.995,0.8955,0.59153,3.22204,0.70686,0.0470394,3.93578e-05,3.93578e-05
28,138.883,0.85656,1.34783,0.86711,0.5,1,0.995,0.8955,0.59153,3.22204,0.70686,0.0450403,4.02985e-05,4.02985e-05
29,143.617,0.93273,1.29571,0.90171,0.38462,1,0.995,0.8955,0.57806,3.19335,0.70606,0.0430412,4.11996e-05,4.11996e-05
