epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,34.9604,1.0882,0.94251,0.82043,0.08065,1,0.995,0.61115,1.2097,2.49194,0.81757,0.000709599,0.000709599,0.000709599
44,35.8041,0.89761,0.8535,0.82005,0.83895,1,0.995,0.65409,1.10633,2.35335,0.82031,0.000713987,0.000713987,0.000713987
45,36.5569,1.1475,0.96399,0.84019,0.83895,1,0.995,0.65409,1.10633,2.35335,0.82031,0.00071781,0.00071781,0.00071781
46,37.3545,1.0945,0.97251,0.84163,0.98539,1,0.995,0.73767,0.79968,2.21751,0.80396,0.000721066,0.000721066,0.000721066
47,38.1835,0.93723,0.91441,0.82737,0.98539,1,0.995,0.73767,0.79968,2.21751,0.80396,0.000723757,0.000723757,0.000723757
48,38.9705,1.07366,0.97329,0.83654,1,0.901,0.995,0.78149,0.84841,1.98783,0.78944,0.000725882,0.000725882,0.000725882
49,39.7756,0.93488,0.78589,0.81389,1,0.901,0.995,0.78149,0.84841,1.98783,0.78944,0.000727441,0.000727441,0.000727441
50,40.6022,0.98858,0.80376,0.82789,1,0.95367,0.995,0.72463,0.8124,1.82613,0.78265,0.000728434,0.000728434,0.000728434
51,41.3468,0.94505,0.83284,0.83699,1,0.95367,0.995,0.72463,0.8124,1.82613,0.78265,0.000721645,0.000721645,0.000721645
52,42.1324,0.9506,0.84379,0.82639,1,0.96685,0.995,0.76451,0.72823,1.68492,0.79335,0.000707498,0.000707498,0.000707498
53,42.8612,1.18619,0.85768,0.82767,1,0.96685,0.995,0.76451,0.72823,1.68492,0.79335,0.000693351,0.000693351,0.000693351
54,43.598,0.96147,0.83896,0.80259,1,0.96734,0.995,0.80603,0.706,1.58739,0.80051,0.000679204,0.000679204,0.000679204
55,44.4228,0.97902,0.80342,0.82323,1,0.96734,0.995,0.80603,0.706,1.58739,0.80051,0.000665057,0.000665057,0.000665057
56,45.2268,1.12311,0.86616,0.82519,1,0.98749,0.995,0.78743,0.63604,1.52691,0.80544,0.000650909,0.000650909,0.000650909
57,46.0075,0.88852,0.7569,0.82528,1,0.98749,0.995,0.78743,0.63604,1.52691,0.80544,0.000636762,0.000636762,0.000636762
58,46.763,0.97778,0.76433,0.81239,1,0.98933,0.995,0.69855,0.86713,1.52616,0.80024,0.000622615,0.000622615,0.000622615
59,47.5312,0.89868,0.74715,0.80557,1,0.98933,0.995,0.69855,0.86713,1.52616,0.80024,0.000608468,0.000608468,0.000608468
60,48.3023,0.91437,0.76083,0.82607,1,0.992,0.995,0.66347,0.97257,1.49297,0.79714,0.000594321,0.000594321,0.000594321
61,49.0642,0.95381,0.76371,0.82105,1,0.992,0.995,0.66347,0.97257,1.49297,0.79714,0.000580174,0.000580174,0.000580174
62,49.8493,0.97416,0.72849,0.81928,1,0.99331,0.995,0.73078,0.83567,1.43784,0.79829,0.000566027,0.000566027,0.000566027
63,50.5747,0.879,0.68743,0.83073,1,0.99331,0.995,0.73078,0.83567,1.43784,0.79829,0.00055188,0.00055188,0.00055188
64,51.3482,1.01634,0.71675,0.82807,1,0.99259,0.995,0.83028,0.53947,1.40198,0.79258,0.000537733,0.000537733,0.000537733
