epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,211.027,0.80405,0.74565,0.92695,0.98431,1,0.995,0.80127,0.74727,1.88152,0.73546,0.000713987,0.000713987,0.000713987
45,215.734,0.87134,0.75096,0.91312,0.98431,1,0.995,0.80127,0.74727,1.88152,0.73546,0.00071781,0.00071781,0.00071781
46,220.684,0.88426,0.77674,0.9019,0.96387,1,0.995,0.85999,0.66825,1.67717,0.72601,0.000721066,0.000721066,0.000721066
47,225.469,0.77866,0.71247,0.87395,0.96387,1,0.995,0.85999,0.66825,1.67717,0.72601,0.000723757,0.000723757,0.000723757
48,230.267,0.81077,0.74242,0.88467,0.98063,1,0.995,0.90561,0.53751,1.46094,0.71037,0.000725882,0.000725882,0.000725882
49,235.004,0.74446,0.70036,0.87863,0.98063,1,0.995,0.90561,0.53751,1.46094,0.71037,0.000727441,0.000727441,0.000727441
50,239.692,0.77852,0.738,0.92125,0.97824,1,0.995,0.88199,0.55926,1.41209,0.70717,0.000728434,0.000728434,0.000728434
51,244.302,0.74441,0.68789,0.89289,0.97824,1,0.995,0.88199,0.55926,1.41209,0.70717,0.000721645,0.000721645,0.000721645
52,249.021,0.80521,0.65599,0.90213,0.97059,1,0.995,0.87188,0.69922,1.33152,0.7094,0.000707498,0.000707498,0.000707498
53,253.612,0.75327,0.64425,0.87484,0.97059,1,0.995,0.87188,0.69922,1.33152,0.7094,0.000693351,0.000693351,0.000693351
54,258.31,0.71747,0.64971,0.87553,0.97399,1,0.995,0.81628,0.75586,1.24777,0.71708,0.000679204,0.000679204,0.000679204
55,262.906,0.7513,0.6769,0.90437,0.97399,1,0.995,0.81628,0.75586,1.24777,0.71708,0.000665057,0.000665057,0.000665057
56,267.603,0.74539,0.63509,0.8872,0.97656,1,0.995,0.8163,0.68608,1.19514,0.72325,0.000650909,0.000650909,0.000650909
57,272.165,0.7944,0.67149,0.91845,0.97656,1,0.995,0.8163,0.68608,1.19514,0.72325,0.000636762,0.000636762,0.000636762
58,277.187,0.75903,0.65356,0.89012,0.97989,1,0.995,0.82936,0.69894,1.09705,0.72887,0.000622615,0.000622615,0.000622615
59,281.898,0.71063,0.61956,0.88002,0.97989,1,0.995,0.82936,0.69894,1.09705,0.72887,0.000608468,0.000608468,0.000608468
60,286.512,0.75531,0.633,0.89012,0.98272,1,0.995,0.79665,0.77914,1.07347,0.75014,0.000594321,0.000594321,0.000594321
61,291.171,0.71179,0.62592,0.86113,0.98272,1,0.995,0.79665,0.77914,1.07347,0.75014,0.000580174,0.000580174,0.000580174
62,295.872,0.67999,0.61701,0.8641,1,0.9982,0.995,0.79063,0.774,1.10781,0.76108,0.000566027,0.000566027,0.000566027
63,300.451,0.72864,0.63183,0.88348,1,0.9982,0.995,0.79063,0.774,1.10781,0.76108,0.00055188,0.00055188,0.00055188
64,305.206,0.73204,0.64681,0.87079,1,0.98352,0.995,0.84803,0.63033,1.16321,0.74964,0.000537733,0.000537733,0.000537733
65,309.798,0.65071,0.59321,0.84027,1,0.98352,0.995,0.84803,0.63033,1.16321,0.74964,0.000523586,0.000523586,0.000523586
66,314.418,0.68747,0.62765,0.90374,0.97841,1,0.995,0.86808,0.53264,1.03281,0.73423,0.000509438,0.000509438,0.000509438
67,319.114,0.67822,0.59113,0.86389,0.97841,1,0.995,0.86808,0.53264,1.03281,0.73423,0.000495291,0.000495291,0.000495291
68,323.687,0.6302,0.60316,0.85454,0.98575,1,0.995,0.90558,0.48254,1.01099,0.73378,0.000481144,0.000481144,0.000481144
69,328.213,0.69388,0.60794,0.86809,0.98575,1,0.995,0.90558,0.48254,1.01099,0.73378,0.000466997,0.000466997,0.000466997
70,332.775,0.67231,0.60622,0.85893,0.98918,1,0.995,0.90266,0.4557,0.96374,0.73353,0.00045285,0.00045285,0.00045285
71,337.426,0.65286,0.58607,0.86574,0.98918,1,0.995,0.90266,0.4557,0.96374,0.73353,0.000438703,0.000438703,0.000438703
72,342.038,0.64138,0.55172,0.85395,0.98942,1,0.995,0.95549,0.37512,0.81756,0.72399,0.000424556,0.000424556,0.000424556
73,346.588,0.67824,0.57439,0.86612,0.98942,1,0.995,0.95549,0.37512,0.81756,0.72399,0.000410409,0.000410409,0.000410409
74,351.337,0.61858,0.57814,0.8464,0.98952,1,0.995,0.91572,0.42243,0.75566,0.73726,0.000396262,0.000396262,0.000396262
75,356.034,0.62539,0.56562,0.85048,0.98952,1,0.995,0.91572,0.42243,0.75566,0.73726,0.000382115,0.000382115,0.000382115
76,360.678,0.61787,0.55413,0.85181,0.98861,1,0.995,0.85618,0.53377,0.71643,0.75623,0.000367967,0.000367967,0.000367967
77,365.348,0.67297,0.60335,0.88744,0.98861,1,0.995,0.85618,0.53377,0.71643,0.75623,0.00035382,0.00035382,0.00035382
78,370.061,0.67458,0.59561,0.86768,0.98882,1,0.995,0.88809,0.51744,0.68519,0.74791,0.000339673,0.000339673,0.000339673
79,374.729,0.64914,0.58215,0.85602,0.98882,1,0.995,0.88809,0.51744,0.68519,0.74791,0.000325526,0.000325526,0.000325526
80,379.521,0.61963,0.55639,0.84858,0.98977,1,0.995,0.95551,0.44502,0.65519,0.73547,0.000311379,0.000311379,0.000311379
81,384.236,0.63982,0.5646,0.86036,0.98977,1,0.995,0.95551,0.44502,0.65519,0.73547,0.000297232,0.000297232,0.000297232
82,388.808,0.58002,0.56041,0.8423,0.98997,1,0.995,0.95553,0.41155,0.66061,0.72803,0.000283085,0.000283085,0.000283085
83,393.453,0.62397,0.52001,0.85516,0.98997,1,0.995,0.95553,0.41155,0.66061,0.72803,0.000268938,0.000268938,0.000268938
84,398.077,0.57523,0.5303,0.83257,0.98991,1,0.995,0.95552,0.41713,0.66198,0.72816,0.000254791,0.000254791,0.000254791
85,402.631,0.62373,0.54335,0.87927,0.98991,1,0.995,0.95552,0.41713,0.66198,0.72816,0.000240644,0.000240644,0.000240644
86,407.622,0.59885,0.54009,0.86207,0.98963,1,0.995,0.95555,0.45498,0.66972,0.73371,0.000226497,0.000226497,0.000226497
87,412.329,0.60837,0.54751,0.85457,0.98963,1,0.995,0.95555,0.45498,0.66972,0.73371,0.000212349,0.000212349,0.000212349
88,416.937,0.57877,0.5388,0.86326,0.98897,1,0.995,0.89176,0.52757,0.68022,0.74188,0.000198202,0.000198202,0.000198202
89,421.624,0.56771,0.54645,0.86322,0.98897,1,0.995,0.89176,0.52757,0.68022,0.74188,0.000184055,0.000184055,0.000184055
90,426.327,0.58785,0.52976,0.83994,0.98932,1,0.995,0.87091,0.5846,0.68013,0.75021,0.000169908,0.000169908,0.000169908
91,431.294,0.62638,0.58425,0.86599,0.98932,1,0.995,0.87091,0.5846,0.68013,0.75021,0.000155761,0.000155761,0.000155761
92,436.152,0.55202,0.56336,0.85336,0.98936,1,0.995,0.87089,0.59396,0.66982,0.75173,0.000141614,0.000141614,0.000141614
93,440.977,0.59263,0.55527,0.87294,0.98936,1,0.995,0.87089,0.59396,0.66982,0.75173,0.000127467,0.000127467,0.000127467
94,445.644,0.5186,0.53434,0.83966,0.98954,1,0.995,0.89105,0.54934,0.65724,0.74369,0.00011332,0.00011332,0.00011332
95,450.282,0.61072,0.57011,0.84138,0.98954,1,0.995,0.89105,0.54934,0.65724,0.74369,9.91726e-05,9.91726e-05,9.91726e-05
96,454.904,0.60976,0.55148,0.87421,0.98972,1,0.995,0.9079,0.51093,0.64359,0.73694,8.50255e-05,8.50255e-05,8.50255e-05
97,459.536,0.55189,0.5525,0.85536,0.98972,1,0.995,0.9079,0.51093,0.64359,0.73694,7.08784e-05,7.08784e-05,7.08784e-05
98,464.266,0.62266,0.56065,0.87542,0.9899,1,0.995,0.95053,0.48764,0.63463,0.73289,5.67313e-05,5.67313e-05,5.67313e-05
99,469.527,0.60344,0.5547,0.87647,0.9899,1,0.995,0.95053,0.48764,0.63463,0.73289,4.25842e-05,4.25842e-05,4.25842e-05
100,474.149,0.56555,0.54276,0.85176,0.98999,1,0.995,0.95052,0.47798,0.62686,0.73141,2.84371e-05,2.84371e-05,2.84371e-05
